Soil;G;qt ;fs;u;gamma;mq;Rf
Mining tailing - bauxit;"3,015";"579,9911";"11,1163333";"98,8536667";"18,3";"87,87743939";"2,42"
Mining tailing - bauxit;"3,064";"595,4715667";"7,373";"70,7163333";"18,05";"165,4087685";"1,35"
Mining tailing - bauxit;"3,015";"579,9911";"11,1163333";"98,8536667";"18,3";"87,87743939";"2,42"
Mining tailing - bauxit;"3,065";"493,5846";"7,23266667";"114,405333";"18,13";"68,55341667";"1,76"
Mining tailing - bauxit;"3,03";"611,3006333";"9,771";"66,591";"18,72";"169,8057315";"1,59"
Mining tailing - bauxit;"2,942";"802,7658";"8,1266667";"186,25933";"18,58";"89,1962";"1,35"
Mining tailing - bauxit;"2,956";"777,7137";"4,511";"226,009";"18,8";"81,01184375";"0,48"
Mining tailing - bauxit;"3,026";"725,6855";"10,502333";"55,558333";"18,49";"241,8951667";"1,45"
Mining tailing - bauxit;"3,03";"611,3006333";"9,771";"66,591";"18,65";"169,8057315";"1,59"
Mining tailing - bauxit;"2,942";"802,7658";"8,1266667";"186,25933";"17,9";"89,1962";"1,35"
Mining tailing - bauxit;"2,956";"777,7137";"4,511";"226,009";"17,45";"81,01184375";"0,48"
Mining tailing - bauxit;"2,953";"31,46";"2,62";"29,63";"15,490034";"11,44";"14,48"
Mining tailing - bauxit;"3,257";"134,5";"2,8";"74,03";"17,58073";"28,31578947";"2,72"
Mining tailing - bauxit;"3,201";"198,8";"3,66";"113,38";"16,65258";"29,45185185";"1,92"
Mining tailing - bauxit;"3,222";"379,07";"4,62";"189,19";"17,897962";"38,87897436";"1,1"
Mining tailing - bauxit;"3,097";"625,28";"5,14";"295,93";"18,009574";"49,04156863";"0,89"
Mining tailing - bauxit;"3,103";"36,55";"2,47";"28,11";"15,683";"18,275";"8,69"
Mining tailing - bauxit;"3,143";"144,33";"4,79";"71,28";"17,22";"36,0825";"3,87"
Mining tailing - bauxit;"2,907";"250,18";"5,26";"121,54";"18,074";"41,69666667";"2,41"
Mining tailing - bauxit;"2,957";"429,54";"5,01";"208,34";"18,27";"47,72666667";"1,29"
Mining tailing - bauxit;"3,01";"799,68";"6,61";"368,71";"20,437";"61,51384615";"0,93"
Mining tailing - bauxit;"3,016";"950,2";"8,19";"447,37";"19,741";"63,34666667";"1,01"
Mining tailing - bauxit;"2,414";"47,63";"1,31";"23,03";"14,256";"23,23414634";"2,95"
Mining tailing - bauxit;"2,386";"80,17";"2,76";"39,74";"14,708";"26,2852459";"4,42"
Mining tailing - bauxit;"2,848";"130,57";"3,49";"56,37";"15,779";"32,23950617";"2,95"
Mining tailing - bauxit;"2,845";"186,38";"4,03";"92,68";"15,706";"30,80661157";"2,99"
Mining tailing - bauxit;"3,036";"485,7";"5,93";"223,86";"16,597";"43,95475113";"1,4"
Mining tailing - bauxit;"2,984";"688,88";"6,84";"340,41";"16,699";"52,78773946";"1,15"
Mining tailing - bauxit;"2,995";"35,47";"1,81";"40,83";"15,723";"14,77916667";"8,04"
Mining tailing - bauxit;"2,846";"125,34";"4,4";"80,45";"15,727";"28,48636364";"4,13"
Mining tailing - bauxit;"2,956";"198,35";"4,89";"127,61";"16,141";"30,9921875";"3,39"
Mining tailing - bauxit;"2,902";"329,79";"4,72";"180,41";"14,484";"39,26071429";"1,81"
Mining tailing - bauxit;"2,848";"389,76";"5,38";"218,96";"17,377";"41,46382979";"1,82"
Mining tailing - bauxit;"2,88";"622,22";"6,33";"331,49";"18,878";"50,17903226";"1,38"
Mining tailing - bauxit;"2,88";"741,75";"6,68";"388,02";"16,471";"55,35447761";"1,14"
Mining tailing - bauxit;"2,957";"788,13";"6,61";"407,83";"18,348";"54,73125";"1,01"
Mining tailing - bauxit;"3,076";"329,05";"3,06";"34,5";"16,349";"143,0652174";"4,68"
Mining tailing - bauxit;"3,022";"203,97";"3,14";"91,77";"15,986";"47,43488372";"2,86"
Mining tailing - bauxit;"3,025";"353,72";"4,8";"158,33";"19,319";"56,14603175";"0,94"
Mining tailing - bauxit;"2,944";"495,33";"3,48";"242,37";"17,574";"53,26129032";"0,83"
Mining tailing - bauxit;"2,996";"744,72";"4,48";"363,23";"17,825";"60,54634146";"0,68"
Mining tailing - bauxit;"2,771";"156,23";"2,86";"46,81";"15,699";"67,92608696";"1,11"
Mining tailing - bauxit;"2,972";"240,83";"2,96";"105,74";"16,511";"56,00697674";"1,14"
Mining tailing - bauxit;"3,142";"450,35";"5,7";"154,45";"18,938";"71,48412698";"0,94"
Mining tailing - bauxit;"3,038";"657,66";"7,45";"285,04";"21,447";"70,71612903";"2,31"
Mining tailing - bauxit;3;"31,38";"1,04";"26,4";"17,562";"14,94285714";"6,67"
Mining tailing - bauxit;"3,079";"55,34";"1,77";"46,4";"16,383";"17,8516129";"4,25"
Mining tailing - bauxit;"2,975";"100,28";"2,63";"65,45";"16,232";"24,45853659";"4,94"
Mining tailing - bauxit;"3,015";"144,08";"3,6";"91,1";"16,19";"28,25098039";"3,19"
Mining tailing - bauxit;"3,026";"173,82";"4,03";"113,64";"16,307";"28,49508197";"2,74"
Mining tailing - bauxit;"3,063";"266,66";"4,85";"162,92";"17,084";"32,92098765";"1,83"
Mining tailing - bauxit;"3,077";"219,13";"1,06";"15,86";"17,781";"146,0866667";"1,92"
Mining tailing - bauxit;"3,04";"33,78";"1,73";"16,91";"17,934";"19,87058824";"8,31"
Mining tailing - bauxit;"3,036";"676,76";"6,87";"23,71";"19,228";"250,6518519";"0,97"
Mining tailing - bauxit;"3,019";"187,25";"8,57";"52,73";"15,861";"50,60810811";"2,63"
Mining tailing - bauxit;"2,996";"164,25";"7,32";"77,43";"16,514";"34,94680851";"4,33"
